Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11
L101,OSHW,TinyTiM_Lib:OSHW_6mm,
C217,47u,8V,TinyTiM_Libs:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
U101,RGB_WS2811B,TinyTiM_Lib:RGB_WS2811B,
C101,100n,TinyTiM_Libs:c_0805,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
U102,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U103,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U104,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U105,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U106,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U107,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U108,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
S101,CONN_1,TinyTiM_Libs:Screw_NPTH,
S102,CONN_1,TinyTiM_Libs:Screw_NPTH,
C117,47u,8V,TinyTiM_Libs:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
S103,CONN_1,TinyTiM_Libs:Screw_NPTH,
S104,CONN_1,TinyTiM_Libs:Screw_NPTH,
